commit: b747e1963e53cddd20e60bbabf24ed4828ac7d28
date: 2023-07-28 09:05:11
version: 3.0.3
built on: Fri Jul 28 00:37:37 2023 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          816.6          808.5     159642.1      2658.4      49850.1
paillier_512            9       100000          807.4          820.2     152750.7      2668.3      49342.3
paillier_512            9    100000000          787.6          787.9     153985.8      2636.5      49803.2
paillier_512            9          -10          805.8          812.1     156755.7      2680.6      48675.9
paillier_512            9      -100000          814.0          796.6     147618.7      2658.3      51034.9
paillier_512            9   -100000000          803.6          807.9     156538.7      2574.4      49981.0
paillier_1024           9           10          109.9          111.1      53648.8      1041.7      17928.1
paillier_1024           9       100000          110.1          113.9      55672.4      1078.4      18142.2
paillier_1024           9    100000000          110.5          111.5      53253.3      1081.9      18133.4
paillier_1024           9          -10          110.1           84.0      51252.0      1086.5      18141.4
paillier_1024           9      -100000          112.3          111.9      54188.9      1089.7      18191.9
paillier_1024           9   -100000000          112.8          111.6      53091.6      1072.6      18040.2
paillier_2048           9           10           14.0           14.3      15312.2       356.1       5229.7
paillier_2048           9       100000           15.1           14.7      15198.5       364.6       5292.2
paillier_2048           9    100000000           14.6           14.4      15749.2       361.7       5254.3
paillier_2048           9          -10           14.7           14.4      15223.4       356.7       5357.8
paillier_2048           9      -100000           14.7           14.3      15158.4       363.7       5287.7
paillier_2048           9   -100000000           14.3           14.3      15205.6       350.5       5265.9
paillier_3072           9           10            4.4            4.4       7211.5       182.2       2527.9
paillier_3072           9       100000            4.5            4.4       7202.3       181.2       2438.7
paillier_3072           9    100000000            4.3            4.4       7258.6       176.8       2478.0
paillier_3072           9          -10            4.4            4.4       7212.6       178.2       2519.9
paillier_3072           9      -100000            4.4            4.4       7231.4       180.3       2479.5
paillier_3072           9   -100000000            4.6            4.4       7433.0       174.1       2474.8
paillier_4096           9           10            1.9            1.9       4351.2       106.9       1397.3
paillier_4096           9       100000            1.9            1.9       4479.9       111.8       1410.3
paillier_4096           9    100000000            1.9            1.9       4527.2       110.4       1431.7
paillier_4096           9          -10            1.9            1.9       4389.6       111.5       1414.9
paillier_4096           9      -100000            1.9            1.8       4309.7       105.5       1401.1
paillier_4096           9   -100000000            1.9            1.8       4307.6       105.4       1380.1
paillier_7680           9           10            0.3            0.3       1334.4        33.6        412.7
paillier_7680           9       100000            0.3            0.3       1318.6        33.8        414.3
paillier_7680           9    100000000            0.3            0.3       1325.9        33.2        416.7
paillier_7680           9          -10            0.3            0.3       1336.9        34.0        414.7
paillier_7680           9      -100000            0.3            0.3       1333.1        33.5        400.4
paillier_7680           9   -100000000            0.3            0.3       1381.0        33.7        415.1
