commit: b747e1963e53cddd20e60bbabf24ed4828ac7d28
date: 2023-08-01 09:14:41
version: 3.0.3
built on: Tue Aug  1 00:47:32 2023 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          823.6          804.1     158664.0      2578.8      51003.9
paillier_512            9       100000          802.5          838.0     161588.1      2577.7      51046.5
paillier_512            9    100000000          795.4          813.2     150756.1      2615.0      51164.2
paillier_512            9          -10          814.6          828.9     163309.3      2612.7      50393.1
paillier_512            9      -100000          829.8          824.7     158999.0      2605.3      51774.9
paillier_512            9   -100000000          816.4          818.6     165070.2      2720.0      50587.1
paillier_1024           9           10          113.0          111.9      55815.0      1129.6      18806.3
paillier_1024           9       100000          109.9          111.5      55456.7      1091.5      18347.9
paillier_1024           9    100000000          111.3          112.3      54496.7      1090.1      18536.7
paillier_1024           9          -10          112.1          114.4      53905.0       995.5      18781.5
paillier_1024           9      -100000          113.1          113.0      54481.8      1069.2      18698.1
paillier_1024           9   -100000000          104.5          113.3      53656.7      1071.6      18639.6
paillier_2048           9           10           14.7           14.6      15616.5       362.0       5411.5
paillier_2048           9       100000           14.3           14.9      16120.4       365.9       5351.9
paillier_2048           9    100000000           14.6           14.5      15551.5       362.0       5366.9
paillier_2048           9          -10           14.8           14.7      15755.9       367.6       5170.8
paillier_2048           9      -100000           14.2           14.6      15641.2       270.3       5494.0
paillier_2048           9   -100000000           15.0           14.9      16068.5       368.5       5141.6
paillier_3072           9           10            4.6            4.6       7247.7       180.1       2074.9
paillier_3072           9       100000            4.3            4.4       7374.3       181.6       2097.2
paillier_3072           9    100000000            4.6            4.6       7409.4       182.2       2078.7
paillier_3072           9          -10            4.4            4.4       7211.1       182.2       2003.7
paillier_3072           9      -100000            4.4            4.4       7180.4       182.7       2074.5
paillier_3072           9   -100000000            4.6            4.4       7210.7       180.4       2050.7
paillier_4096           9           10            1.9            1.9       4340.4       108.5       1430.1
paillier_4096           9       100000            1.8            1.9       4301.6       108.5       1431.3
paillier_4096           9    100000000            1.9            1.9       4383.8       111.3       1408.9
paillier_4096           9          -10            1.9            1.9       4235.2       111.7       1438.5
paillier_4096           9      -100000            1.9            1.9       4494.9       106.4       1415.1
paillier_4096           9   -100000000            1.8            1.9       4511.2       111.9       1395.6
paillier_7680           9           10            0.3            0.3       1344.7        33.5        410.8
paillier_7680           9       100000            0.3            0.3       1352.1        34.2        427.7
paillier_7680           9    100000000            0.3            0.3       1342.5        33.9        404.4
paillier_7680           9          -10            0.3            0.3       1330.1        34.4        413.7
paillier_7680           9      -100000            0.3            0.3       1335.4        34.5        414.6
paillier_7680           9   -100000000            0.3            0.3       1335.4        33.6        410.6
