commit: 3267f4fb69f5498900b88fea11cac5326e24599a
date: 2023-09-04 09:00:12
version: 3.0.3
built on: Mon Sep  4 00:32:41 2023 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          839.3          839.9     158766.6      2733.8      45335.3
paillier_512            9       100000          804.2          837.8     155009.1      2667.8      45869.3
paillier_512            9    100000000          810.5          815.8     152963.6      2646.6      45246.0
paillier_512            9          -10          830.1          803.7     154866.3      2674.1      45504.3
paillier_512            9      -100000          806.0          814.2     156533.7      2722.7      45644.7
paillier_512            9   -100000000          809.6          801.2     152376.0      2767.5      46525.3
paillier_1024           9           10          111.9          116.3      53899.2      1099.3      18486.0
paillier_1024           9       100000          113.8          111.6      49800.9      1095.1      18001.6
paillier_1024           9    100000000          112.0          115.5      53746.8      1074.5      18594.4
paillier_1024           9          -10          110.5          112.3      52213.3      1101.3      18804.3
paillier_1024           9      -100000          112.0          113.1      52078.8      1080.2      18217.6
paillier_1024           9   -100000000          111.2          112.3      52125.7      1071.8      18058.5
paillier_2048           9           10           14.4           14.5      14977.3       354.4       5389.8
paillier_2048           9       100000           14.8           14.7      14832.7       352.6       5259.7
paillier_2048           9    100000000           14.5           14.4      13424.3       356.2       5261.3
paillier_2048           9          -10           14.4           14.7      14296.6       346.5       5300.5
paillier_2048           9      -100000           14.7           14.3      15063.7       367.4       5392.6
paillier_2048           9   -100000000           14.7           14.7      15319.4       363.9       5247.8
paillier_3072           9           10            4.5            4.5       7083.4       179.0       2511.3
paillier_3072           9       100000            4.5            4.4       7149.6       181.9       2480.5
paillier_3072           9    100000000            4.4            4.4       7172.5       177.0       2432.3
paillier_3072           9          -10            4.4            4.5       7143.3       180.9       2471.7
paillier_3072           9      -100000            4.4            4.4       7186.2       179.5       2470.6
paillier_3072           9   -100000000            4.4            4.4       7183.7       180.0       2480.1
paillier_4096           9           10            1.9            1.9       3881.5       108.1       1417.6
paillier_4096           9       100000            1.9            1.8       4261.3       105.6       1412.0
paillier_4096           9    100000000            1.9            1.9       4311.1       108.5       1420.1
paillier_4096           9          -10            1.9            1.9       4487.1       110.9       1419.0
paillier_4096           9      -100000            1.9            1.9       4367.1        96.8       1424.6
paillier_4096           9   -100000000            1.9            1.9       4203.5       107.7       1418.7
paillier_7680           9           10            0.3            0.3       1337.1        34.2        400.1
paillier_7680           9       100000            0.3            0.3       1310.1        33.7        410.3
paillier_7680           9    100000000            0.3            0.3       1331.3        34.9        429.4
paillier_7680           9          -10            0.3            0.3       1347.7        33.7        408.7
paillier_7680           9      -100000            0.3            0.3       1286.7        34.3        422.0
paillier_7680           9   -100000000            0.3            0.3       1385.5        35.1        426.5
