commit: dacccab720f1c17522c382b8c8bbf56df6d1e6df
date: 2023-09-19 09:11:44
version: 3.0.3
built on: Tue Sep 19 00:44:16 2023 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          801.5          825.4     155847.9      2540.5      50156.5
paillier_512            9       100000          826.9          826.4     160840.5      2498.4      51380.2
paillier_512            9    100000000          793.2          829.3     161108.8      2598.1      49470.9
paillier_512            9          -10          789.4          806.7     159770.7      2576.4      50060.4
paillier_512            9      -100000          809.4          801.1     155443.5      2602.6      50384.8
paillier_512            9   -100000000          838.7          835.7     161631.6      2692.4      50416.7
paillier_1024           9           10          110.8          112.1      53554.0      1067.1      16703.9
paillier_1024           9       100000          111.4          111.8      53072.3      1070.5      16425.0
paillier_1024           9    100000000          111.6          113.2      53919.4      1094.5      16950.7
paillier_1024           9          -10          113.3          112.1      53153.5      1098.4      16817.1
paillier_1024           9      -100000          112.5          112.8      53440.4      1055.2      16543.0
paillier_1024           9   -100000000          111.7          112.8      53909.2      1080.2      16744.3
paillier_2048           9           10           14.6           14.6      14764.2       365.0       5211.2
paillier_2048           9       100000           14.6           14.3      15366.3       358.1       5164.4
paillier_2048           9    100000000           14.3           14.5      14971.3       365.6       5168.9
paillier_2048           9          -10           15.0           15.0      15360.3       355.8       5221.6
paillier_2048           9      -100000           14.3           14.4      15052.7       350.9       5157.4
paillier_2048           9   -100000000           12.2           14.3      15005.8       361.3       5295.6
paillier_3072           9           10            4.3            4.1       7006.1       177.1       2190.3
paillier_3072           9       100000            4.2            4.4       6854.3       184.0       2164.0
paillier_3072           9    100000000            4.2            4.4       7249.1       184.3       2187.3
paillier_3072           9          -10            4.2            4.5       7464.0       179.2       2215.9
paillier_3072           9      -100000            4.3            4.4       7252.1       180.3       2258.0
paillier_3072           9   -100000000            4.3            4.4       7161.5       184.7       2258.1
paillier_4096           9           10            1.9            1.9       4405.2       109.7       1434.1
paillier_4096           9       100000            1.9            1.9       4322.5       110.3       1421.4
paillier_4096           9    100000000            1.9            1.9       4347.5       106.8       1419.7
paillier_4096           9          -10            1.9            1.9       4361.3       110.4       1467.3
paillier_4096           9      -100000            1.9            1.9       4334.5       107.2       1467.0
paillier_4096           9   -100000000            1.9            1.9       4406.6       105.5       1419.0
paillier_7680           9           10            0.3            0.3       1351.8        34.7        363.5
paillier_7680           9       100000            0.3            0.3       1342.0        34.2        363.6
paillier_7680           9    100000000            0.3            0.3       1342.8        33.9        359.2
paillier_7680           9          -10            0.3            0.3       1369.8        33.9        354.9
paillier_7680           9      -100000            0.3            0.3       1349.8        33.5        354.4
paillier_7680           9   -100000000            0.3            0.3       1323.9        33.8        357.4
