commit: 5409282c28d18280123df8e2199ca9131b40aeb4
date: 2023-10-29 09:02:59
version: 3.0.3
built on: Sun Oct 29 00:35:29 2023 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          833.8          809.2     162138.5      2613.1      51126.6
paillier_512            9       100000          817.4          822.6     165611.6      2658.8      49752.5
paillier_512            9    100000000          812.2          814.7     160904.2      2652.3      51319.5
paillier_512            9          -10          826.9          840.8     166287.2      2662.9      52611.6
paillier_512            9      -100000          840.4          838.2     164427.0      2697.7      51137.6
paillier_512            9   -100000000          800.1          815.2     163334.1      2598.7      50932.5
paillier_1024           9           10          114.1          111.6      54096.6      1117.7      16905.8
paillier_1024           9       100000          116.5          116.6      54532.7      1079.8      16493.9
paillier_1024           9    100000000          115.6          114.6      54175.2      1098.6      17094.4
paillier_1024           9          -10          116.8          116.8      53983.7      1111.3      17087.1
paillier_1024           9      -100000          116.6          116.7      53719.6      1083.0      16663.9
paillier_1024           9   -100000000          114.2          114.1      54043.2      1068.7      16518.6
paillier_2048           9           10           14.7           14.6      15330.0       371.4       5286.1
paillier_2048           9       100000           15.0           15.0      15677.0       371.3       5453.2
paillier_2048           9    100000000           15.0           15.0      15669.3       364.7       5424.7
paillier_2048           9          -10           14.7           14.8      15332.4       356.9       5335.9
paillier_2048           9      -100000           14.7           14.4      15334.5       363.6       5135.0
paillier_2048           9   -100000000           14.2           14.6      14854.7       358.5       5339.6
paillier_3072           9           10            4.4            4.4       7373.4       184.8       2535.5
paillier_3072           9       100000            4.5            4.5       7242.1       177.1       2547.8
paillier_3072           9    100000000            4.6            4.6       7433.1       182.7       2481.8
paillier_3072           9          -10            4.4            4.5       7292.4       179.9       2474.1
paillier_3072           9      -100000            4.5            4.4       7312.3       182.2       2496.0
paillier_3072           9   -100000000            4.4            4.4       7433.0       185.5       2524.2
paillier_4096           9           10            1.9            1.9       4461.7       104.7       1459.5
paillier_4096           9       100000            1.9            1.8       4457.3       106.7       1413.6
paillier_4096           9    100000000            1.9            1.9       4419.4       106.7       1432.9
paillier_4096           9          -10            1.9            1.9       4430.3       106.2       1455.3
paillier_4096           9      -100000            1.9            1.9       4400.8       107.2       1446.3
paillier_4096           9   -100000000            1.9            1.9       4440.5       106.2       1432.9
paillier_7680           9           10            0.3            0.3       1339.6        33.9        419.0
paillier_7680           9       100000            0.3            0.3       1382.5        34.6        415.3
paillier_7680           9    100000000            0.3            0.3       1358.4        34.4        418.5
paillier_7680           9          -10            0.3            0.3       1386.9        35.3        429.3
paillier_7680           9      -100000            0.3            0.3       1370.1        34.1        415.9
paillier_7680           9   -100000000            0.3            0.3       1359.2        34.9        428.3
