commit: da0fa86292e1b6a5b6e1389067b9d1f1d3939ddc
date: 2024-02-10 09:03:32
version: 3.0.3
built on: Sat Feb 10 00:36:11 2024 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          813.9          819.2     159806.4      2603.3      50958.3
paillier_512            9       100000          813.7          810.4     157923.8      2634.7      50897.4
paillier_512            9    100000000          825.0          813.2     161445.7      2580.5      50500.2
paillier_512            9          -10          818.1          827.7     160562.1      2604.0      50435.1
paillier_512            9      -100000          816.5          839.3     160274.9      2593.3      51123.5
paillier_512            9   -100000000          832.8          830.2     161224.3      2612.7      51877.4
paillier_1024           9           10          115.1          113.3      54126.3      1094.4      18652.1
paillier_1024           9       100000          113.7          114.8      54611.9      1111.2      18659.3
paillier_1024           9    100000000          114.3          113.5      54467.2      1074.8      18825.5
paillier_1024           9          -10          116.5          114.9      54639.9      1096.9      18545.3
paillier_1024           9      -100000          113.7          113.3      53774.2      1075.7      18805.9
paillier_1024           9   -100000000          113.9          113.6      54368.3      1111.7      18937.5
paillier_2048           9           10           14.9           14.9      15513.9       361.5       5344.7
paillier_2048           9       100000           14.7           15.1      15952.7       365.3       5444.6
paillier_2048           9    100000000           15.1           15.0      15860.0       362.7       5413.6
paillier_2048           9          -10           14.5           14.8      15662.9       365.5       5423.4
paillier_2048           9      -100000           14.7           14.5      15758.0       357.7       5335.4
paillier_2048           9   -100000000           14.9           14.8      15530.9       365.5       5343.5
paillier_3072           9           10            4.3            4.4       7427.6       182.0       2422.3
paillier_3072           9       100000            4.4            4.3       7469.5       186.1       2423.8
paillier_3072           9    100000000            4.4            4.4       7107.8       180.0       2379.7
paillier_3072           9          -10            4.3            4.3       7331.2       181.4       2356.0
paillier_3072           9      -100000            4.3            4.3       7370.8       176.6       2407.5
paillier_3072           9   -100000000            4.4            4.3       7334.9       180.3       2348.1
paillier_4096           9           10            1.9            1.9       4456.5       107.4       1223.6
paillier_4096           9       100000            1.9            1.9       4507.2       108.7       1239.0
paillier_4096           9    100000000            1.9            1.9       4376.3       107.1       1229.9
paillier_4096           9          -10            1.9            1.9       4524.0       111.5       1249.0
paillier_4096           9      -100000            1.9            1.9       4516.3       110.5       1229.3
paillier_4096           9   -100000000            1.9            1.9       4449.3       108.1       1235.7
paillier_7680           9           10            0.3            0.3       1358.8        34.7        371.8
paillier_7680           9       100000            0.3            0.3       1390.7        34.9        376.2
paillier_7680           9    100000000            0.3            0.3       1360.6        34.7        375.5
paillier_7680           9          -10            0.3            0.3       1382.1        34.7        370.8
paillier_7680           9      -100000            0.3            0.3       1375.1        34.6        372.4
paillier_7680           9   -100000000            0.3            0.3       1352.2        34.0        370.3
