commit: ae6c5158b8b52ffb7a71c150548ba307f8115fe8
date: 2024-04-11 09:08:26
version: 3.0.3
built on: Thu Apr 11 00:41:07 2024 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          818.1          818.0     167317.6      2763.7      52157.9
paillier_512            9       100000          816.3          817.7     170789.1      2777.9      52357.1
paillier_512            9    100000000          825.6          819.8     172144.2      2795.5      52287.1
paillier_512            9          -10          834.7          839.4     167352.7      2793.4      52559.0
paillier_512            9      -100000          841.1          820.5     169095.6      2798.5      52545.4
paillier_512            9   -100000000          819.9          826.9     168130.9      2751.3      51494.1
paillier_1024           9           10          115.9          114.1      55595.5      1147.7      16920.3
paillier_1024           9       100000          114.2          113.9      55342.7      1141.7      17082.6
paillier_1024           9    100000000          116.1          116.9      57073.7      1171.0      16916.6
paillier_1024           9          -10          113.4          114.9      52235.2      1139.2      16753.2
paillier_1024           9      -100000          113.6          115.5      56034.1      1087.0      16943.3
paillier_1024           9   -100000000           99.1          115.1      55464.2      1154.1      16805.0
paillier_2048           9           10           14.8           14.6      16805.5       374.8       5463.3
paillier_2048           9       100000           14.5           14.6      16785.2       388.6       5580.8
paillier_2048           9    100000000           15.1           15.0      17220.4       390.9       5632.7
paillier_2048           9          -10           15.1           15.1      17217.9       384.7       5516.7
paillier_2048           9      -100000           14.7           14.5      15410.7       373.4       5611.1
paillier_2048           9   -100000000           15.1           15.1      17070.2       364.6       5552.3
paillier_3072           9           10            4.5            4.4       8003.2       191.0       2289.6
paillier_3072           9       100000            4.5            4.5       8114.4       191.2       2302.8
paillier_3072           9    100000000            4.5            4.5       8135.6       192.5       2313.0
paillier_3072           9          -10            4.5            4.5       8149.8       180.8       2192.7
paillier_3072           9      -100000            4.3            4.4       7996.4       189.4       2276.2
paillier_3072           9   -100000000            4.5            4.3       7804.8       188.9       2230.9
paillier_4096           9           10            1.9            1.9       4970.6       116.0       1478.7
paillier_4096           9       100000            1.9            1.9       4873.9       111.4       1452.6
paillier_4096           9    100000000            1.9            1.8       4849.1       112.2       1443.5
paillier_4096           9          -10            1.9            1.9       4926.8       115.4       1510.8
paillier_4096           9      -100000            1.9            1.9       4968.1       112.7       1511.9
paillier_4096           9   -100000000            1.9            1.9       4933.9       117.2       1511.8
paillier_7680           9           10            0.3            0.3       1519.2        36.4        353.2
paillier_7680           9       100000            0.2            0.3       1432.1        34.6        347.0
paillier_7680           9    100000000            0.3            0.3       1380.8        34.4        365.7
paillier_7680           9          -10            0.3            0.3       1452.4        34.5        364.8
paillier_7680           9      -100000            0.3            0.3       1449.9        32.6        356.5
paillier_7680           9   -100000000            0.2            0.3       1457.3        35.7        362.7
