commit: ae6c5158b8b52ffb7a71c150548ba307f8115fe8
date: 2024-04-17 09:01:50
version: 3.0.3
built on: Wed Apr 17 00:34:23 2024 UTC
options: bn(64,64)
compiler: gcc -fPIC -pthread -m64 -Wa,--noexecstack -Wall -O3 -DPEDANTIC -pedantic -Wno-long-long -DUNUSEDRESULT_DEBUG -Wall -Wmissing-declarations -Wextra -Wno-unused-parameter -Wno-missing-field-initializers -Wswitch -Wsign-compare -Wshadow -Wformat -Wtype-limits -Wundef -Werror -Wmissing-prototypes -Wstrict-prototypes -DOPENSSL_USE_NODELETE -DL_ENDIAN -DOPENSSL_PIC -DOPENSSL_BUILDING_OPENSSL -DNDEBUG 
CPUINFO: OPENSSL_ia32cap=0xfffa32035f8bffff:0xd01e4fbb

paillier type           a            b   encrypt(b)/s   decrypt(b)/s   add(a,b)/s   sub(a,b)/s   mul(a,b)/s
paillier_512            9           10          806.3          821.1     158570.0      2753.4      51338.6
paillier_512            9       100000          821.3          828.1     158491.6      2778.1      50489.7
paillier_512            9    100000000          783.8          819.8     159190.4      2775.6      50616.3
paillier_512            9          -10          805.0          820.8     155814.4      2790.7      50662.9
paillier_512            9      -100000          795.9          823.2     155390.2      2757.2      50685.7
paillier_512            9   -100000000          819.5          826.4     161538.1      2761.2      50741.4
paillier_1024           9           10          113.8          114.0      56232.4      1162.7      18906.2
paillier_1024           9       100000          112.9          112.0      55739.4      1135.8      18723.9
paillier_1024           9    100000000          114.1          114.2      55689.1      1135.5      18860.3
paillier_1024           9          -10          113.7          113.8      55555.7      1136.6      19073.5
paillier_1024           9      -100000          114.0          113.7      55801.4      1133.0      18938.8
paillier_1024           9   -100000000          114.3          115.4      56268.3      1163.5      18862.6
paillier_2048           9           10           15.1           15.1      17774.6       385.4       5006.3
paillier_2048           9       100000           15.1           14.7      17423.5       368.9       4721.8
paillier_2048           9    100000000           14.8           14.9      17672.5       378.6       4977.0
paillier_2048           9          -10           15.1           14.8      16006.0       382.5       4980.1
paillier_2048           9      -100000           15.0           15.1      17669.9       378.4       4998.7
paillier_2048           9   -100000000           14.7           14.7      17122.3       374.9       4884.4
paillier_3072           9           10            4.5            4.5       7953.2       188.5       2571.9
paillier_3072           9       100000            4.5            4.5       8075.5       194.0       2556.0
paillier_3072           9    100000000            4.5            4.5       8036.8       191.0       2625.0
paillier_3072           9          -10            4.5            4.4       7909.2       189.1       2624.5
paillier_3072           9      -100000            4.5            4.6       8053.7       189.4       2563.2
paillier_3072           9   -100000000            4.5            4.4       7982.4       190.4       2599.4
paillier_4096           9           10            1.9            1.9       4910.0       117.7       1324.7
paillier_4096           9       100000            1.9            1.9       4833.5       111.7       1304.4
paillier_4096           9    100000000            1.9            1.9       4678.5       114.0       1315.7
paillier_4096           9          -10            1.9            1.9       4809.3       112.9       1289.3
paillier_4096           9      -100000            1.9            1.9       4841.6       116.0       1304.6
paillier_4096           9   -100000000            1.9            1.9       4825.6       113.0       1298.1
paillier_7680           9           10            0.3            0.3       1484.2        36.5        437.6
paillier_7680           9       100000            0.3            0.3       1489.9        36.4        435.2
paillier_7680           9    100000000            0.3            0.3       1485.4        36.2        432.9
paillier_7680           9          -10            0.3            0.3       1509.3        36.9        439.1
paillier_7680           9      -100000            0.3            0.3       1493.7        36.6        433.4
paillier_7680           9   -100000000            0.3            0.3       1496.9        37.1        425.2
